

[46936187.584048] Main thread:Using SOCKETS for INTER PROCESS COMMUNICATION pid = 140154671609664

[46939188.429186] Entering thread2, pid =  140154652579584
[65406858.199919]Thread1: Checking system status  String length:  31  ,LED command sent by thread1:  2 

[65407859.029681]Thread2: Status positive  String length: 24  , LED command for which aknowledgement was received from thread2:  2 

[65408859.412570]Thread1: Adding parity bits  String length:  27  ,LED command sent by thread1:  3 

[65409860.073520]Thread2: Parity bits added successfull  String length: 38  , LED command for which aknowledgement was received from thread2:  3 

[65410860.917699]Thread1: Sending data  String length:  21  ,LED command sent by thread1:  4 

[65411862.070140]Thread2: Data sent  String length: 18  , LED command for which aknowledgement was received from thread2:  4 

[65412862.977611]Thread1: Extracting data  String length:  24  ,LED command sent by thread1:  5 

[65413863.661446]Thread2: Data extracted  String length: 23  , LED command for which aknowledgement was received from thread2:  5 

[65414864.451133]Thread1: Extracting parity  String length:  26  ,LED command sent by thread1:  8 

[65415864.724015]Thread2: Parity extracted  String length: 25  , LED command for which aknowledgement was received from thread2:  6 

[65416865.295853]Thread1: Waiting for Acknowledgement  String length:  36  ,LED command sent by thread1:  9 

[65417866.577679]Thread2: Acknowledgement sent  String length: 29  , LED command for which aknowledgement was received from thread2:  7 

[65418867.301721]Thread1: Closing the gateway  String length:  28  ,LED command sent by thread1:  0 

[65419868.100895]Thread2: Gateway closed  String length: 23  , LED command for which aknowledgement was received from thread2:  8 

[65420869.370671]Thread1: Closing the connection  String length:  31  ,LED command sent by thread1:  0 

[65421869.735845]Thread2: Connection closed  String length: 26  , LED command for which aknowledgement was received from thread2:  9 

[65421869.784562] Exiting thread1, pid =  140056403511040

[65422870.132380] Exiting thread2, pid =  140056395118336

[65422870.262342] EXiting main thread, pid =  140056414148416


[9022781.306487] Main thread:Using SOCKETS for INTER PROCESS COMMUNICATION pid = 140451693283136

[9025783.674852] Entering thread2, pid =  140451674253056

[9025783.674852] Entering thread1, pid =  140451682645760

[9025783.807258]Thread1: Initialising communication  String length:  35  ,LED command sent by thread1:  0 

[9026790.479851]Thread2: Communication initialised  String length: 34  , LED command for which aknowledgement was received from thread2:  0 

[9027784.926378]Thread1: Opening gateway  String length:  24  ,LED command sent by thread1:  1 

[9028785.493346]Thread2: Gateway opened  String length: 23  , LED command for which aknowledgement was received from thread2:  1 

[9029785.933972]Thread1: Checking system status  String length:  31  ,LED command sent by thread1:  2 

[9030790.357966]Thread2: Status positive  String length: 24  , LED command for which aknowledgement was received from thread2:  2 

[9031790.771993]Thread1: Adding parity bits  String length:  27  ,LED command sent by thread1:  3 

[9032791.418157]Thread2: Parity bits added successfull  String length: 38  , LED command for which aknowledgement was received from thread2:  3 

[9033792.133931]Thread1: Sending data  String length:  21  ,LED command sent by thread1:  4 

[9034792.861797]Thread2: Data sent  String length: 18  , LED command for which aknowledgement was received from thread2:  4 

[9035794.095656]Thread1: Extracting data  String length:  24  ,LED command sent by thread1:  5 

[9036796.760208]Thread2: Data extracted  String length: 23  , LED command for which aknowledgement was received from thread2:  5 

[9037797.378531]Thread1: Extracting parity  String length:  26  ,LED command sent by thread1:  8 

[9038798.187493]Thread2: Parity extracted  String length: 25  , LED command for which aknowledgement was received from thread2:  6 

[9039798.465867]Thread1: Waiting for Acknowledgement  String length:  36  ,LED command sent by thread1:  9 

[9040805.324018]Thread2: Acknowledgement sent  String length: 29  , LED command for which aknowledgement was received from thread2:  7 

[9041807.076456]Thread1: Closing the gateway  String length:  28  ,LED command sent by thread1:  0 

[9042814.451310]Thread2: Gateway closed  String length: 23  , LED command for which aknowledgement was received from thread2:  8 

[9043814.552576]Thread1: Closing the connection  String length:  31  ,LED command sent by thread1:  0 

[9044816.034557]Thread2: Connection closed  String length: 26  , LED command for which aknowledgement was received from thread2:  9 

[9044816.087206] Exiting thread1, pid =  140451682645760

[9045816.966688] Exiting thread2, pid =  140451674253056

[9045817.098839] EXiting main thread, pid =  140451693283136

[10952772.471036] Main thread:Using SOCKETS for INTER PROCESS COMMUNICATION pid = 140442707941184

[10955773.529895] Entering thread2, pid =  140442688911104 Resource identifier:  5

[10955773.663601] Entering thread1, pid =  140442697303808 Resource identifier:  3

[10955773.663601]Thread1: Initialising communication  String length:  35  ,LED command sent by thread1:  0 

[10956774.687495]Thread2: Communication initialised  String length: 34  , LED command for which aknowledgement was received from thread2:  0 

[10957776.675814]Thread1: Opening gateway  String length:  24  ,LED command sent by thread1:  1 

[10958777.410629]Thread2: Gateway opened  String length: 23  , LED command for which aknowledgement was received from thread2:  1 

[10959777.839159]Thread1: Checking system status  String length:  31  ,LED command sent by thread1:  2 

[10960778.343900]Thread2: Status positive  String length: 24  , LED command for which aknowledgement was received from thread2:  2 

[10961778.897372]Thread1: Adding parity bits  String length:  27  ,LED command sent by thread1:  3 

[10962779.477760]Thread2: Parity bits added successfull  String length: 38  , LED command for which aknowledgement was received from thread2:  3 

[10963779.530634]Thread1: Sending data  String length:  21  ,LED command sent by thread1:  4 

[10964780.038456]Thread2: Data sent  String length: 18  , LED command for which aknowledgement was received from thread2:  4 

[10965780.910524]Thread1: Extracting data  String length:  24  ,LED command sent by thread1:  5 

[10966781.905632]Thread2: Data extracted  String length: 23  , LED command for which aknowledgement was received from thread2:  5 

[10967782.727256]Thread1: Extracting parity  String length:  26  ,LED command sent by thread1:  8 

[10968783.870266]Thread2: Parity extracted  String length: 25  , LED command for which aknowledgement was received from thread2:  6 

[10969788.396495]Thread1: Waiting for Acknowledgement  String length:  36  ,LED command sent by thread1:  9 

[10970788.725522]Thread2: Acknowledgement sent  String length: 29  , LED command for which aknowledgement was received from thread2:  7 

[10971789.422242]Thread1: Closing the gateway  String length:  28  ,LED command sent by thread1:  0 

[10972790.634024]Thread2: Gateway closed  String length: 23  , LED command for which aknowledgement was received from thread2:  8 

[10973791.014741]Thread1: Closing the connection  String length:  31  ,LED command sent by thread1:  0 

[10974791.712148]Thread2: Connection closed  String length: 26  , LED command for which aknowledgement was received from thread2:  9 

[10974791.740884] Exiting thread1, pid =  140442697303808

[10975796.959363] Exiting thread2, pid =  140442688911104

[10975797.094095] EXiting main thread, pid =  140442707941184
